ANY-N BATCH CLEAN COPY
tested 42
captured 42/42
laneHits 0
stepMin 0
stepAvg 14.00
stepMedian 3
stepMax 94
stepPct0 11.9%
stepPct1to10 59.5%
stepPct11to100 28.6%
stepPct101to1000 0.0%
stepPct1001to10000 0.0%
stepPct10000plus 0.0%
worstAmp 8191 x831
slowest 2047 steps 94
highestNormalizedDelay 31 14.331285
highestDelayDensity 63 36.000000
latestPeak 63 87.50%
longestOddRun 31 run=1
longestEvenRun 255 run=6
slowestOmegaDrift 2047 drift=1.713948
highestAutocorr 33 0.500000
peakMod6 r0:1 · r2:6 · r4:34 · r5:1
peakMod12 r4:34 · r5:1 · r6:1 · r8:6
thermoMostStable 32 G=0.000000
phaseDistribution CRYSTALLIZED: 34 · FROZEN: 8
hoverStepsCorr 0.745783

start 3078 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.086298 | delayDensity 0.250000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 0 | peakMod12 6 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 1539 | lane NO
start 4095 | status CAPTURED | door BELOW-SELF | steps 83 | normDelay 6.916870 | delayDensity 20.750000 | peakPhase MID SPIKE | peakPct 55.42% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 5 | omegaDrift 1.920181 | autocorr 0.231707 | thermoPhase CRYSTALLIZED | entropy 0.9619 | gibbs 0.0882 | amp x311 | odd/even 32/51 | anchor none | below 3371 | lane NO
start 4096 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.083333 | delayDensity 0.250000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 4 | peakMod12 4 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 2048 | lane NO
start 4097 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.249993 | delayDensity 0.750000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5284 | amp x3 | odd/even 1/2 | anchor none | below 3073 | lane NO
start 8191 | status CAPTURED | door BELOW-SELF | steps 70 | normDelay 5.384688 | delayDensity 17.500000 | peakPhase MID SPIKE | peakPct 60.00% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 5 | omegaDrift 2.275132 | autocorr 0.231884 | thermoPhase CRYSTALLIZED | entropy 0.9620 | gibbs 0.1248 | amp x831 | odd/even 27/43 | anchor none | below 7102 | lane NO
start 8192 | status CAPTURED | door BELOW-SELF | steps 1 | normDelay 0.076923 | delayDensity 0.250000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 2 | peakMod12 8 | maxOddRun 0 | maxEvenRun 1 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase CRYSTALLIZED | entropy 0.0000 | gibbs 0.0000 | amp x1 | odd/even 0/1 | anchor none | below 4096 | lane NO
start 8193 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.230766 | delayDensity 0.750000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5283 | amp x3 | odd/even 1/2 | anchor none | below 6145 | lane NO
start 9231 | status CAPTURED | door BELOW-SELF | steps 11 | normDelay 0.835088 | delayDensity 2.750000 | peakPhase MID SPIKE | peakPct 63.64% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 4 | omegaDrift 15.909091 | autocorr 0.300000 | thermoPhase CRYSTALLIZED | entropy 0.9457 | gibbs 0.3036 | amp x10 | odd/even 4/7 | anchor none | below 5842 | lane NO
start 9232 | status CAPTURED | door ANCHOR/COLLECTOR | steps 0 | normDelay 0.000000 | delayDensity 0.000000 | peakPhase EARLY SPIKE | peakPct 0.00% | peakMod6 4 | peakMod12 4 | maxOddRun 0 | maxEvenRun 0 | omegaDrift 0.000000 | autocorr 0.000000 | thermoPhase FROZEN | entropy 1.0000 | gibbs 0.0000 | amp x1 | odd/even 0/0 | anchor 9232 | below none | lane NO
start 9233 | status CAPTURED | door BELOW-SELF | steps 3 | normDelay 0.227746 | delayDensity 0.750000 | peakPhase MID SPIKE | peakPct 33.33% | peakMod6 4 | peakMod12 4 | maxOddRun 1 | maxEvenRun 2 | omegaDrift 66.666667 | autocorr 0.500000 | thermoPhase CRYSTALLIZED | entropy 0.9183 | gibbs 0.5283 | amp x3 | odd/even 1/2 | anchor none | below 6925 | lane NO
